tcdc,lon,lat
47.625,-120.4549,38.57567
57.75,-120.094,38.62627
54.875,-120.5208,38.8577
59.75,-120.1582,38.90858
75.0,-119.795,38.9581
59.125,-120.223,39.19109
67.75,-119.8581,39.24089
53.125,-120.2885,39.4738
68.375,-119.9218,39.5239
6.25,-120.4549,38.57567
6.75,-120.094,38.62627
8.25,-120.5208,38.8577
9.0,-120.1582,38.90858
13.375,-119.795,38.9581
9.875,-120.223,39.19109
12.375,-119.8581,39.24089
10.5,-120.2885,39.4738
26.25,-119.9218,39.5239
34.0,-120.4549,38.57567
26.25,-120.094,38.62627
38.5,-120.5208,38.8577
32.125,-120.1582,38.90858
26.375,-119.795,38.9581
35.25,-120.223,39.19109
29.625,-119.8581,39.24089
36.875,-120.2885,39.4738
31.375,-119.9218,39.5239
87.25,-120.4549,38.57567
53.75,-120.094,38.62627
90.5,-120.5208,38.8577
70.0,-120.1582,38.90858
47.625,-119.795,38.9581
68.25,-120.223,39.19109
47.625,-119.8581,39.24089
58.125,-120.2885,39.4738
47.25,-119.9218,39.5239
92.875,-120.4549,38.57567
60.5,-120.094,38.62627
93.375,-120.5208,38.8577
60.375,-120.1582,38.90858
32.625,-119.795,38.9581
58.75,-120.223,39.19109
37.25,-119.8581,39.24089
50.125,-120.2885,39.4738
40.5,-119.9218,39.5239
96.875,-120.4549,38.57567
62.25,-120.094,38.62627
99.625,-120.5208,38.8577
78.0,-120.1582,38.90858
39.25,-119.795,38.9581
78.25,-120.223,39.19109
52.5,-119.8581,39.24089
71.125,-120.2885,39.4738
44.5,-119.9218,39.5239
95.625,-120.4549,38.57567
58.75,-120.094,38.62627
97.375,-120.5208,38.8577
76.625,-120.1582,38.90858
48.875,-119.795,38.9581
75.625,-120.223,39.19109
54.375,-119.8581,39.24089
68.25,-120.2885,39.4738
51.25,-119.9218,39.5239
93.875,-120.4549,38.57567
54.375,-120.094,38.62627
98.25,-120.5208,38.8577
73.25,-120.1582,38.90858
39.25,-119.795,38.9581
77.5,-120.223,39.19109
59.125,-119.8581,39.24089
72.125,-120.2885,39.4738
65.625,-119.9218,39.5239
84.0,-120.4549,38.57567
71.25,-120.094,38.62627
82.375,-120.5208,38.8577
68.625,-120.1582,38.90858
61.625,-119.795,38.9581
67.25,-120.223,39.19109
65.125,-119.8581,39.24089
67.375,-120.2885,39.4738
71.0,-119.9218,39.5239
91.75,-120.4549,38.57567
85.5,-120.094,38.62627
90.875,-120.5208,38.8577
81.25,-120.1582,38.90858
81.875,-119.795,38.9581
83.375,-120.223,39.19109
84.125,-119.8581,39.24089
82.25,-120.2885,39.4738
86.375,-119.9218,39.5239
92.625,-120.4549,38.57567
80.125,-120.094,38.62627
95.125,-120.5208,38.8577
97.75,-120.1582,38.90858
98.375,-119.795,38.9581
98.25,-120.223,39.19109
99.375,-119.8581,39.24089
95.625,-120.2885,39.4738
97.0,-119.9218,39.5239
49.625,-120.4549,38.57567
35.125,-120.094,38.62627
56.75,-120.5208,38.8577
40.375,-120.1582,38.90858
35.375,-119.795,38.9581
42.625,-120.223,39.19109
40.625,-119.8581,39.24089
38.875,-120.2885,39.4738
44.375,-119.9218,39.5239
86.625,-120.4549,38.57567
74.875,-120.094,38.62627
87.625,-120.5208,38.8577
78.25,-120.1582,38.90858
76.875,-119.795,38.9581
79.75,-120.223,39.19109
78.625,-119.8581,39.24089
77.5,-120.2885,39.4738
75.375,-119.9218,39.5239
97.875,-120.4549,38.57567
79.0,-120.094,38.62627
97.25,-120.5208,38.8577
81.375,-120.1582,38.90858
58.75,-119.795,38.9581
