shtfl,lon,lat
22.889465,-120.4549,38.57567
61.944153,-120.094,38.62627
3.5457153,-120.5208,38.8577
42.303528,-120.1582,38.90858
40.928528,-119.795,38.9581
18.389465,-120.223,39.19109
5.1082153,-119.8581,39.24089
28.15509,-120.2885,39.4738
-13.868347,-119.9218,39.5239
30.09311,-120.4549,38.57567
49.37436,-120.094,38.62627
5.905609,-120.5208,38.8577
39.991547,-120.1582,38.90858
35.647797,-119.795,38.9581
20.577484,-120.223,39.19109
26.163422,-119.8581,39.24089
28.37436,-120.2885,39.4738
-3.5787659,-119.9218,39.5239
35.708588,-120.4549,38.57567
142.80234,-120.094,38.62627
10.708588,-120.5208,38.8577
90.34921,-120.1582,38.90858
58.2789,-119.795,38.9581
62.755463,-120.223,39.19109
58.794525,-119.8581,39.24089
68.294525,-120.2885,39.4738
11.036713,-119.9218,39.5239
20.321777,-120.4549,38.57567
60.384277,-120.094,38.62627
0.32177734,-120.5208,38.8577
43.478027,-120.1582,38.90858
36.313965,-119.795,38.9581
15.743652,-120.223,39.19109
32.61084,-119.8581,39.24089
31.626465,-120.2885,39.4738
3.7280273,-119.9218,39.5239
28.746735,-120.4549,38.57567
50.676422,-120.094,38.62627
30.113922,-120.5208,38.8577
41.442047,-120.1582,38.90858
28.246735,-119.795,38.9581
48.059235,-120.223,39.19109
30.317047,-119.8581,39.24089
26.863922,-120.2885,39.4738
-7.7063904,-119.9218,39.5239
23.831177,-120.4549,38.57567
66.86243,-120.094,38.62627
24.034302,-120.5208,38.8577
59.549927,-120.1582,38.90858
