air,lon,lat
274.11966,-119.9218,39.5239
279.1279,-120.4549,38.57567
272.33102,-120.094,38.62627
279.04196,-120.5208,38.8577
273.20602,-120.1582,38.90858
272.0029,-119.795,38.9581
274.36227,-120.223,39.19109
273.27634,-119.8581,39.24089
272.90134,-120.2885,39.4738
275.09665,-119.9218,39.5239
278.3789,-120.4549,38.57567
272.29297,-120.094,38.62627
277.94922,-120.5208,38.8577
273.48828,-120.1582,38.90858
273.27734,-119.795,38.9581
274.94922,-120.223,39.19109
273.66797,-119.8581,39.24089
273.21484,-120.2885,39.4738
275.63672,-119.9218,39.5239
275.61255,-120.4549,38.57567
268.80005,-120.094,38.62627
276.54224,-120.5208,38.8577
270.136,-120.1582,38.90858
271.19067,-119.795,38.9581
272.75317,-120.223,39.19109
272.37817,-119.8581,39.24089
270.8391,-120.2885,39.4738
275.0188,-119.9218,39.5239
275.9826,-120.4549,38.57567
267.84198,-120.094,38.62627
277.52948,-120.5208,38.8577
268.21698,-120.1582,38.90858
266.94354,-119.795,38.9581
270.96698,-120.223,39.19109
267.6076,-119.8581,39.24089
268.5998,-120.2885,39.4738
271.89667,-119.9218,39.5239
274.98737,-120.4549,38.57567
265.5108,-120.094,38.62627
275.91705,-120.5208,38.8577
266.72955,-120.1582,38.90858
