acpcp,lon,lat
2.0078125,-120.4549,38.57567
1.4140625,-120.094,38.62627
1.21875,-120.5208,38.8577
1.21875,-120.1582,38.90858
3.4453125,-119.795,38.9581
1.1484375,-120.223,39.19109
3.40625,-119.8581,39.24089
1.2578125,-120.2885,39.4738
2.6875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.3046875,-120.094,38.62627
1.0078125,-120.5208,38.8577
0.203125,-120.1582,38.90858
0.1328125,-119.795,38.9581
0.5859375,-120.223,39.19109
0.1328125,-119.8581,39.24089
0.9296875,-120.2885,39.4738
1.4453125,-119.9218,39.5239
3.1484375,-120.4549,38.57567
0.1015625,-120.094,38.62627
5.0625,-120.5208,38.8577
0.265625,-120.1582,38.90858
0.984375,-119.795,38.9581
0.8984375,-120.223,39.19109
0.7265625,-119.8581,39.24089
0.5703125,-120.2885,39.4738
0.625,-119.9218,39.5239
5.7109375,-120.4549,38.57567
2.5546875,-120.094,38.62627
3.921875,-120.5208,38.8577
1.84375,-120.1582,38.90858
2.5234375,-119.795,38.9581
1.8203125,-120.223,39.19109
3.3125,-119.8581,39.24089
1.90625,-120.2885,39.4738
1.765625,-119.9218,39.5239
0.0042483583,-120.4549,38.57567
0.0042483583,-120.094,38.62627
0.0042483583,-120.5208,38.8577
0.0042483583,-120.1582,38.90858
0.0042483583,-119.795,38.9581
0.0042483583,-120.223,39.19109
0.0042483583,-119.8581,39.24089
0.0042483583,-120.2885,39.4738
0.0042483583,-119.9218,39.5239
