wvuflx,lon,lat
855711.44,-120.5208,38.8577
845836.44,-120.1582,38.90858
856211.44,-119.795,38.9581
844461.44,-120.223,39.19109
888586.44,-119.8581,39.24089
843211.44,-120.2885,39.4738
891461.44,-119.9218,39.5239
574120.2,-120.4549,38.57567
527370.2,-120.094,38.62627
597245.2,-120.5208,38.8577
590995.2,-120.1582,38.90858
596245.2,-119.795,38.9581
600120.2,-120.223,39.19109
615245.2,-119.8581,39.24089
594370.2,-120.2885,39.4738
602245.2,-119.9218,39.5239
328593.7,-120.4549,38.57567
298218.7,-120.094,38.62627
324093.7,-120.5208,38.8577
311343.7,-120.1582,38.90858
303218.7,-119.795,38.9581
282343.7,-120.223,39.19109
275218.7,-119.8581,39.24089
236468.69,-120.2885,39.4738
241843.69,-119.9218,39.5239
-74158.19,-120.4549,38.57567
-76908.19,-120.094,38.62627
-111658.19,-120.5208,38.8577
-104658.19,-120.1582,38.90858
-92908.19,-119.795,38.9581
-118158.19,-120.223,39.19109
-100783.19,-119.8581,39.24089
-121658.19,-120.2885,39.4738
-93408.19,-119.9218,39.5239
-5768.0625,-120.4549,38.57567
-2518.0625,-120.094,38.62627
-14018.0625,-120.5208,38.8577
-6143.0625,-120.1582,38.90858
6606.9375,-119.795,38.9581
-8143.0625,-120.223,39.19109
2356.9375,-119.8581,39.24089
-8643.0625,-120.2885,39.4738
10481.9375,-119.9218,39.5239
497530.25,-120.4549,38.57567
467405.25,-120.094,38.62627
511030.25,-120.5208,38.8577
498905.25,-120.1582,38.90858
506280.25,-119.795,38.9581
501155.25,-120.223,39.19109
501405.25,-119.8581,39.24089
489030.25,-120.2885,39.4738
497280.25,-119.9218,39.5239
-17843.75,-120.4549,38.57567
-24843.75,-120.094,38.62627
-42593.75,-120.5208,38.8577
-37468.75,-120.1582,38.90858
-21843.75,-119.795,38.9581
-47718.75,-120.223,39.19109
-29343.75,-119.8581,39.24089
-53093.75,-120.2885,39.4738
-25343.75,-119.9218,39.5239
-16884.188,-120.4549,38.57567
-12009.1875,-120.094,38.62627
-25634.188,-120.5208,38.8577
-18259.188,-120.1582,38.90858
-6634.1875,-119.795,38.9581
-17384.188,-120.223,39.19109
-6259.1875,-119.8581,39.24089
-13384.1875,-120.2885,39.4738
-2884.1875,-119.9218,39.5239
391732.0,-120.4549,38.57567
364482.0,-120.094,38.62627
416982.0,-120.5208,38.8577
401232.0,-120.1582,38.90858
391732.0,-119.795,38.9581
428107.0,-120.223,39.19109
415107.0,-119.8581,39.24089
453982.0,-120.2885,39.4738
435357.0,-119.9218,39.5239
911680.2,-120.4549,38.57567
875680.2,-120.094,38.62627
971555.2,-120.5208,38.8577
954805.2,-120.1582,38.90858
946805.2,-119.795,38.9581
999430.2,-120.223,39.19109
997805.2,-119.8581,39.24089
1044055.2,-120.2885,39.4738
1037055.2,-119.9218,39.5239
1166263.8,-120.4549,38.57567
1132763.8,-120.094,38.62627
1246138.8,-120.5208,38.8577
1231388.8,-120.1582,38.90858
1222388.8,-119.795,38.9581
1278763.8,-120.223,39.19109
