pres,lon,lat
80041.34,-119.8581,39.24089
78841.34,-120.2885,39.4738
82028.84,-119.9218,39.5239
87079.83,-120.4549,38.57567
77579.83,-120.094,38.62627
86842.33,-120.5208,38.8577
79567.33,-120.1582,38.90858
79467.33,-119.795,38.9581
79729.83,-120.223,39.19109
79867.33,-119.8581,39.24089
78667.33,-120.2885,39.4738
81792.33,-119.9218,39.5239
87464.67,-120.4549,38.57567
77864.67,-120.094,38.62627
87264.67,-120.5208,38.8577
79889.67,-120.1582,38.90858
79789.67,-119.795,38.9581
80077.17,-120.223,39.19109
80227.17,-119.8581,39.24089
79039.67,-120.2885,39.4738
82202.17,-119.9218,39.5239
87651.58,-120.4549,38.57567
78039.08,-120.094,38.62627
87414.08,-120.5208,38.8577
80051.58,-120.1582,38.90858
79926.58,-119.795,38.9581
80226.58,-120.223,39.19109
80326.58,-119.8581,39.24089
79126.58,-120.2885,39.4738
82289.08,-119.9218,39.5239
87381.92,-120.4549,38.57567
77869.42,-120.094,38.62627
87206.92,-120.5208,38.8577
79944.42,-120.1582,38.90858
79919.42,-119.795,38.9581
80156.92,-120.223,39.19109
80331.92,-119.8581,39.24089
79131.92,-120.2885,39.4738
82331.92,-119.9218,39.5239
87339.58,-120.4549,38.57567
77952.08,-120.094,38.62627
87152.08,-120.5208,38.8577
79964.58,-120.1582,38.90858
79939.58,-119.795,38.9581
80164.58,-120.223,39.19109
80352.08,-119.8581,39.24089
79189.58,-120.2885,39.4738
82339.58,-119.9218,39.5239
87593.06,-120.4549,38.57567
78255.555,-120.094,38.62627
87393.055,-120.5208,38.8577
80255.555,-120.1582,38.90858
80230.555,-119.795,38.9581
80505.555,-120.223,39.19109
80693.055,-119.8581,39.24089
79480.555,-120.2885,39.4738
82643.055,-119.9218,39.5239
87781.57,-120.4549,38.57567
78494.06,-120.094,38.62627
87581.57,-120.5208,38.8577
80444.06,-120.1582,38.90858
80381.56,-119.795,38.9581
80644.06,-120.223,39.19109
80794.06,-119.8581,39.24089
79594.06,-120.2885,39.4738
82706.56,-119.9218,39.5239
87055.52,-120.4549,38.57567
77668.02,-120.094,38.62627
86855.52,-120.5208,38.8577
79668.02,-120.1582,38.90858
79530.52,-119.795,38.9581
79805.52,-120.223,39.19109
79893.02,-119.8581,39.24089
78768.02,-120.2885,39.4738
81855.52,-119.9218,39.5239
86609.664,-120.4549,38.57567
76909.664,-120.094,38.62627
86447.164,-120.5208,38.8577
78984.664,-120.1582,38.90858
78922.164,-119.795,38.9581
79222.164,-120.223,39.19109
79372.164,-119.8581,39.24089
78184.664,-120.2885,39.4738
81434.664,-119.9218,39.5239
86988.02,-120.4549,38.57567
77300.52,-120.094,38.62627
86800.52,-120.5208,38.8577
79500.52,-120.1582,38.90858
79513.02,-119.795,38.9581
79713.02,-120.223,39.19109
79913.02,-119.8581,39.24089
78713.02,-120.2885,39.4738
82063.02,-119.9218,39.5239
87262.836,-120.4549,38.57567
77712.836,-120.094,38.62627
87037.836,-120.5208,38.8577
79787.836,-120.1582,38.90858
79787.836,-119.795,38.9581
80037.836,-120.223,39.19109
80200.336,-119.8581,39.24089
79025.336,-120.2885,39.4738
82237.836,-119.9218,39.5239
