omega,lon,lat
0.08432434,-120.2885,39.4738
0.090671994,-119.9218,39.5239
0.017802633,-120.4549,38.57567
-0.0012403354,-120.094,38.62627
-0.02223643,-120.5208,38.8577
0.04319326,-120.1582,38.90858
0.15452138,-119.795,38.9581
0.007548727,-120.223,39.19109
0.15354481,-119.8581,39.24089
0.06760732,-120.2885,39.4738
0.08323232,-119.9218,39.5239
-0.05622545,-120.4549,38.57567
-0.10603014,-120.094,38.62627
-0.05720201,-120.5208,38.8577
-0.015698105,-120.1582,38.90858
0.050708145,-119.795,38.9581
-0.0366942,-120.223,39.19109
0.031176895,-119.8581,39.24089
-0.05329576,-120.2885,39.4738
0.00969252,-119.9218,39.5239
0.003254518,-120.4549,38.57567
-0.02360095,-120.094,38.62627
0.037922487,-120.5208,38.8577
0.02376233,-120.1582,38.90858
0.1287428,-119.795,38.9581
0.021809205,-120.223,39.19109
0.13802014,-119.8581,39.24089
0.02327405,-120.2885,39.4738
0.09407483,-119.9218,39.5239
-0.07565906,-120.4549,38.57567
-0.093237184,-120.094,38.62627
-0.062475465,-120.5208,38.8577
-0.04050281,-120.1582,38.90858
-0.029760621,-119.795,38.9581
-0.04050281,-120.223,39.19109
-0.038549684,-119.8581,39.24089
-0.07565906,-120.2885,39.4738
-0.05661609,-119.9218,39.5239
0.053040892,-120.4549,38.57567
0.0711073,-120.094,38.62627
0.09600964,-120.5208,38.8577
0.06475964,-120.1582,38.90858
0.062318236,-119.795,38.9581
0.08282605,-120.223,39.19109
0.02911511,-119.8581,39.24089
0.054505736,-120.2885,39.4738
0.061829954,-119.9218,39.5239
0.07765841,-120.4549,38.57567
0.07082247,-120.094,38.62627
0.04347872,-120.5208,38.8577
0.10744356,-120.1582,38.90858
0.10597872,-119.795,38.9581
0.09425997,-120.223,39.19109
0.09377169,-119.8581,39.24089
0.08156466,-120.2885,39.4738
0.069357626,-119.9218,39.5239
0.070328556,-120.4549,38.57567
0.04493793,-120.094,38.62627
0.0717934,-120.5208,38.8577
0.101578556,-120.1582,38.90858
0.1264809,-119.795,38.9581
0.08253559,-120.223,39.19109
0.14064106,-119.8581,39.24089
0.057633244,-120.2885,39.4738
0.08253559,-119.9218,39.5239
-0.05642517,-120.4549,38.57567
-0.08523376,-120.094,38.62627
-0.06570251,-120.5208,38.8577
-0.003690794,-120.1582,38.90858
0.09298889,-119.795,38.9581
-0.038358763,-120.223,39.19109
0.09640686,-119.8581,39.24089
-0.05691345,-120.2885,39.4738
0.0016802996,-119.9218,39.5239
-0.02798441,-120.4549,38.57567
-0.11538676,-120.094,38.62627
0.006195277,-120.5208,38.8577
-0.019195348,-120.1582,38.90858
-0.019195348,-119.795,38.9581
0.022308558,-120.223,39.19109
0.020355433,-119.8581,39.24089
-0.048492223,-120.2885,39.4738
-0.03970316,-119.9218,39.5239
0.017533481,-120.4549,38.57567
0.11030692,-120.094,38.62627
0.03608817,-120.5208,38.8577
0.017533481,-120.1582,38.90858
-0.097700894,-119.795,38.9581
0.027299106,-120.223,39.19109
-0.13334543,-119.8581,39.24089
-0.0073688626,-120.2885,39.4738
-0.08109933,-119.9218,39.5239
-0.023782596,-120.4549,38.57567
-0.0037630647,-120.094,38.62627
0.007955685,-120.5208,38.8577
0.018209592,-120.1582,38.90858
0.011373654,-119.795,38.9581
0.038717404,-120.223,39.19109
0.007955685,-119.8581,39.24089
-0.016946658,-120.2885,39.4738
-0.0018099397,-119.9218,39.5239
-0.053415157,-120.4549,38.57567
-0.024606563,-120.094,38.62627
-0.030465938,-120.5208,38.8577
-0.047555782,-120.1582,38.90858
-0.018747188,-119.795,38.9581
-0.025094844,-120.223,39.19109
-0.02704797,-119.8581,39.24089
-0.08710656,-120.2885,39.4738
-0.024118282,-119.9218,39.5239
-0.04733669,-120.4549,38.57567
-0.025852315,-120.094,38.62627
-0.040500753,-120.5208,38.8577
-0.049289815,-120.1582,38.90858
-0.033176534,-119.795,38.9581
-0.044895284,-120.223,39.19109
-0.031223409,-119.8581,39.24089
-0.07761013,-120.2885,39.4738
-0.04343044,-119.9218,39.5239
-0.058466956,-120.4549,38.57567
-0.10436539,-120.094,38.62627
-0.05260758,-120.5208,38.8577
-0.042353675,-120.1582,38.90858
0.018681481,-119.795,38.9581
-0.05944352,-120.223,39.19109
0.0181932,-119.8581,39.24089
-0.073603675,-120.2885,39.4738
-0.049189612,-119.9218,39.5239
0.1261387,-120.4549,38.57567
0.10465433,-120.094,38.62627
0.15104105,-120.5208,38.8577
0.033853546,-120.1582,38.90858
-0.07649802,-119.795,38.9581
0.041666046,-120.223,39.19109
-0.12141989,-119.8581,39.24089
-0.033529267,-120.2885,39.4738
