air,lon,lat
267.98422,-119.795,38.9581
268.51547,-120.223,39.19109
267.98422,-119.8581,39.24089
266.54672,-120.2885,39.4738
271.57797,-119.9218,39.5239
275.6732,-120.4549,38.57567
267.7982,-120.094,38.62627
274.7982,-120.5208,38.8577
268.19662,-120.1582,38.90858
268.34506,-119.795,38.9581
268.47787,-120.223,39.19109
268.931,-119.8581,39.24089
267.6263,-120.2885,39.4738
271.21225,-119.9218,39.5239
275.47943,-120.4549,38.57567
268.62787,-120.094,38.62627
275.26068,-120.5208,38.8577
269.23724,-120.1582,38.90858
271.03412,-119.795,38.9581
270.331,-120.223,39.19109
270.90912,-119.8581,39.24089
268.62006,-120.2885,39.4738
272.8388,-119.9218,39.5239
274.88977,-120.4549,38.57567
266.70227,-120.094,38.62627
274.13196,-120.5208,38.8577
266.42102,-120.1582,38.90858
265.70227,-119.795,38.9581
267.48352,-120.223,39.19109
266.96008,-119.8581,39.24089
265.95227,-120.2885,39.4738
270.27258,-119.9218,39.5239
276.11584,-120.4549,38.57567
269.56897,-120.094,38.62627
275.41272,-120.5208,38.8577
270.61584,-120.1582,38.90858
270.31897,-119.795,38.9581
271.19397,-120.223,39.19109
272.2096,-119.8581,39.24089
270.25647,-120.2885,39.4738
273.86584,-119.9218,39.5239
273.47763,-120.4549,38.57567
265.42294,-120.094,38.62627
272.57138,-120.5208,38.8577
266.25888,-120.1582,38.90858
267.61826,-119.795,38.9581
267.44638,-120.223,39.19109
268.06357,-119.8581,39.24089
266.03232,-120.2885,39.4738
270.80576,-119.9218,39.5239
274.47943,-120.4549,38.57567
271.09662,-120.094,38.62627
274.49506,-120.5208,38.8577
270.706,-120.1582,38.90858
269.98724,-119.795,38.9581
270.5888,-120.223,39.19109
270.69818,-119.8581,39.24089
270.2763,-120.2885,39.4738
272.831,-119.9218,39.5239
278.13547,-120.4549,38.57567
272.54953,-120.094,38.62627
279.62766,-120.5208,38.8577
273.0261,-120.1582,38.90858
271.01047,-119.795,38.9581
274.38547,-120.223,39.19109
272.08078,-119.8581,39.24089
273.11984,-120.2885,39.4738
273.18234,-119.9218,39.5239
278.4155,-120.4549,38.57567
273.6655,-120.094,38.62627
280.57956,-120.5208,38.8577
274.43893,-120.1582,38.90858
273.45456,-119.795,38.9581
275.34518,-120.223,39.19109
274.83737,-119.8581,39.24089
274.14987,-120.2885,39.4738
274.24362,-119.9218,39.5239
276.3272,-120.4549,38.57567
270.22565,-120.094,38.62627
277.1397,-120.5208,38.8577
270.7569,-120.1582,38.90858
271.30377,-119.795,38.9581
272.1319,-120.223,39.19109
272.17096,-119.8581,39.24089
270.5772,-120.2885,39.4738
274.87408,-119.9218,39.5239
276.58667,-120.4549,38.57567
271.7273,-120.094,38.62627
277.99292,-120.5208,38.8577
272.6726,-120.1582,38.90858
272.76636,-119.795,38.9581
273.5476,-120.223,39.19109
273.50854,-119.8581,39.24089
272.3601,-120.2885,39.4738
275.19604,-119.9218,39.5239
278.62616,-120.4549,38.57567
271.9074,-120.094,38.62627
280.38397,-120.5208,38.8577
272.8371,-120.1582,38.90858
271.3996,-119.795,38.9581
274.29022,-120.223,39.19109
273.22772,-119.8581,39.24089
272.67303,-120.2885,39.4738
275.76678,-119.9218,39.5239
279.3007,-120.4549,38.57567
274.02725,-120.094,38.62627
280.69913,-120.5208,38.8577
274.5585,-120.1582,38.90858
274.4413,-119.795,38.9581
274.65225,-120.223,39.19109
275.371,-119.8581,39.24089
274.16788,-120.2885,39.4738
277.371,-119.9218,39.5239
279.7088,-120.4549,38.57567
271.04474,-120.094,38.62627
280.6541,-120.5208,38.8577
271.94318,-120.1582,38.90858
270.3338,-119.795,38.9581
272.701,-120.223,39.19109
271.47443,-119.8581,39.24089
271.75568,-120.2885,39.4738
276.06036,-119.9218,39.5239
278.74142,-120.4549,38.57567
273.9836,-120.094,38.62627
279.9055,-120.5208,38.8577
274.49924,-120.1582,38.90858
274.343,-119.795,38.9581
274.8508,-120.223,39.19109
275.02267,-119.8581,39.24089
274.31955,-120.2885,39.4738
276.74924,-119.9218,39.5239
278.65353,-120.4549,38.57567
269.10666,-120.094,38.62627
278.21603,-120.5208,38.8577
270.09885,-120.1582,38.90858
270.15353,-119.795,38.9581
270.64572,-120.223,39.19109
270.34885,-119.8581,39.24089
