prmsl,lon,lat
102017.04,-119.8581,39.24089
101973.79,-120.2885,39.4738
102085.04,-119.9218,39.5239
101889.12,-120.4549,38.57567
102011.87,-120.094,38.62627
101939.24,-120.5208,38.8577
102124.62,-120.1582,38.90858
102364.49,-119.795,38.9581
102196.24,-120.223,39.19109
102378.12,-119.8581,39.24089
102273.74,-120.2885,39.4738
102441.24,-119.9218,39.5239
101787.53,-120.4549,38.57567
101716.41,-120.094,38.62627
101781.53,-120.5208,38.8577
101713.53,-120.1582,38.90858
101689.91,-119.795,38.9581
101698.03,-120.223,39.19109
101652.41,-119.8581,39.24089
101671.41,-120.2885,39.4738
101653.03,-119.9218,39.5239
101663.0,-120.4549,38.57567
101670.75,-120.094,38.62627
101706.75,-120.5208,38.8577
101727.125,-120.1582,38.90858
101809.125,-119.795,38.9581
101753.25,-120.223,39.19109
101791.375,-119.8581,39.24089
101777.625,-120.2885,39.4738
101827.875,-119.9218,39.5239
102048.59,-120.4549,38.57567
102115.59,-120.094,38.62627
102056.34,-120.5208,38.8577
102137.34,-120.1582,38.90858
102263.47,-119.795,38.9581
102155.22,-120.223,39.19109
102243.47,-119.8581,39.24089
102174.34,-120.2885,39.4738
102268.84,-119.9218,39.5239
102520.12,-120.4549,38.57567
102408.49,-120.094,38.62627
102518.12,-120.5208,38.8577
102366.74,-120.1582,38.90858
102269.24,-119.795,38.9581
102349.12,-120.223,39.19109
102236.49,-119.8581,39.24089
102291.24,-120.2885,39.4738
102227.49,-119.9218,39.5239
103010.55,-120.4549,38.57567
102923.3,-120.094,38.62627
103021.55,-120.5208,38.8577
102955.42,-120.1582,38.90858
102930.17,-119.795,38.9581
102965.05,-120.223,39.19109
102922.05,-119.8581,39.24089
102946.17,-120.2885,39.4738
102924.55,-119.9218,39.5239
103108.0,-120.4549,38.57567
103130.0,-120.094,38.62627
103147.625,-120.5208,38.8577
103203.25,-120.1582,38.90858
103358.625,-119.795,38.9581
103250.0,-120.223,39.19109
103363.75,-119.8581,39.24089
103288.25,-120.2885,39.4738
103415.75,-119.9218,39.5239
102378.18,-120.4549,38.57567
102348.305,-120.094,38.62627
102363.68,-120.5208,38.8577
102336.68,-120.1582,38.90858
102388.555,-119.795,38.9581
102335.805,-120.223,39.19109
102365.055,-119.8581,39.24089
102327.18,-120.2885,39.4738
102402.43,-119.9218,39.5239
