cdlyr,lon,lat
11.0,-120.4549,38.57567
10.125,-120.094,38.62627
11.875,-120.5208,38.8577
10.75,-120.1582,38.90858
10.625,-119.795,38.9581
11.375,-120.223,39.19109
11.375,-119.8581,39.24089
12.25,-120.2885,39.4738
12.5,-119.9218,39.5239
5.25,-120.4549,38.57567
4.0,-120.094,38.62627
4.375,-120.5208,38.8577
3.625,-120.1582,38.90858
3.125,-119.795,38.9581
3.25,-120.223,39.19109
3.125,-119.8581,39.24089
3.125,-120.2885,39.4738
3.125,-119.9218,39.5239
6.875,-120.4549,38.57567
5.5,-120.094,38.62627
8.125,-120.5208,38.8577
6.75,-120.1582,38.90858
6.25,-119.795,38.9581
8.125,-120.223,39.19109
7.5,-119.8581,39.24089
9.75,-120.2885,39.4738
9.125,-119.9218,39.5239
19.875,-120.4549,38.57567
16.25,-120.094,38.62627
22.25,-120.5208,38.8577
19.5,-120.1582,38.90858
18.125,-119.795,38.9581
21.875,-120.223,39.19109
20.875,-119.8581,39.24089
23.75,-120.2885,39.4738
25.375,-119.9218,39.5239
50.375,-120.4549,38.57567
44.5,-120.094,38.62627
55.5,-120.5208,38.8577
48.125,-120.1582,38.90858
43.5,-119.795,38.9581
56.875,-120.223,39.19109
54.125,-119.8581,39.24089
64.875,-120.2885,39.4738
68.5,-119.9218,39.5239
21.75,-120.4549,38.57567
22.25,-120.094,38.62627
22.0,-120.5208,38.8577
23.5,-120.1582,38.90858
23.0,-119.795,38.9581
22.25,-120.223,39.19109
23.375,-119.8581,39.24089
22.375,-120.2885,39.4738
19.25,-119.9218,39.5239
39.875,-120.4549,38.57567
37.875,-120.094,38.62627
45.875,-120.5208,38.8577
40.625,-120.1582,38.90858
36.875,-119.795,38.9581
40.5,-120.223,39.19109
37.25,-119.8581,39.24089
38.0,-120.2885,39.4738
35.625,-119.9218,39.5239
3.875,-120.4549,38.57567
4.75,-120.094,38.62627
6.0,-120.5208,38.8577
14.5,-120.1582,38.90858
17.25,-119.795,38.9581
22.75,-120.223,39.19109
22.25,-119.8581,39.24089
23.625,-120.2885,39.4738
24.125,-119.9218,39.5239
59.875,-120.4549,38.57567
55.5,-120.094,38.62627
61.625,-120.5208,38.8577
58.875,-120.1582,38.90858
54.625,-119.795,38.9581
60.0,-120.223,39.19109
57.375,-119.8581,39.24089
60.125,-120.2885,39.4738
58.25,-119.9218,39.5239
32.875,-120.4549,38.57567
35.0,-120.094,38.62627
42.0,-120.5208,38.8577
43.5,-120.1582,38.90858
43.25,-119.795,38.9581
49.625,-120.223,39.19109
47.125,-119.8581,39.24089
54.625,-120.2885,39.4738
52.25,-119.9218,39.5239
64.25,-120.4549,38.57567
63.625,-120.094,38.62627
46.875,-120.5208,38.8577
53.625,-120.1582,38.90858
60.125,-119.795,38.9581
40.25,-120.223,39.19109
50.25,-119.8581,39.24089
27.75,-120.2885,39.4738
39.25,-119.9218,39.5239
5.375,-120.4549,38.57567
5.75,-120.094,38.62627
6.75,-120.5208,38.8577
6.75,-120.1582,38.90858
6.75,-119.795,38.9581
8.375,-120.223,39.19109
8.0,-119.8581,39.24089
10.875,-120.2885,39.4738
10.375,-119.9218,39.5239
8.75,-120.4549,38.57567
7.375,-120.094,38.62627
10.125,-120.5208,38.8577
8.375,-120.1582,38.90858
7.625,-119.795,38.9581
9.375,-120.223,39.19109
8.75,-119.8581,39.24089
10.5,-120.2885,39.4738
9.875,-119.9218,39.5239
6.875,-120.4549,38.57567
5.375,-120.094,38.62627
7.0,-120.5208,38.8577
6.0,-120.1582,38.90858
5.75,-119.795,38.9581
6.5,-120.223,39.19109
6.375,-119.8581,39.24089
7.125,-120.2885,39.4738
7.25,-119.9218,39.5239
27.875,-120.4549,38.57567
24.875,-120.094,38.62627
31.375,-120.5208,38.8577
23.375,-120.1582,38.90858
18.5,-119.795,38.9581
22.25,-120.223,39.19109
17.25,-119.8581,39.24089
22.0,-120.2885,39.4738
19.125,-119.9218,39.5239
4.75,-120.4549,38.57567
4.125,-120.094,38.62627
4.0,-120.5208,38.8577
3.5,-120.1582,38.90858
3.0,-119.795,38.9581
2.875,-120.223,39.19109
2.25,-119.8581,39.24089
2.0,-120.2885,39.4738
1.875,-119.9218,39.5239
47.0,-120.4549,38.57567
46.875,-120.094,38.62627
48.25,-120.5208,38.8577
47.875,-120.1582,38.90858
47.5,-119.795,38.9581
46.625,-120.223,39.19109
46.125,-119.8581,39.24089
44.0,-120.2885,39.4738
44.0,-119.9218,39.5239
35.75,-120.4549,38.57567
22.125,-120.094,38.62627
32.625,-120.5208,38.8577
25.75,-120.1582,38.90858
26.375,-119.795,38.9581
27.75,-120.223,39.19109
28.0,-119.8581,39.24089
28.75,-120.2885,39.4738
34.625,-119.9218,39.5239
76.75,-120.4549,38.57567
70.125,-120.094,38.62627
80.5,-120.5208,38.8577
77.375,-120.1582,38.90858
77.875,-119.795,38.9581
79.5,-120.223,39.19109
82.625,-119.8581,39.24089
83.25,-120.2885,39.4738
85.5,-119.9218,39.5239
2.0,-120.4549,38.57567
2.125,-120.094,38.62627
2.5,-120.5208,38.8577
2.625,-120.1582,38.90858
5.125,-119.795,38.9581
2.5,-120.223,39.19109
2.5,-119.8581,39.24089
3.0,-120.2885,39.4738
3.0,-119.9218,39.5239
7.0,-120.4549,38.57567
6.125,-120.094,38.62627
7.625,-120.5208,38.8577
7.625,-120.1582,38.90858
7.875,-119.795,38.9581
8.25,-120.223,39.19109
9.75,-119.8581,39.24089
9.875,-120.2885,39.4738
11.25,-119.9218,39.5239
10.0,-120.4549,38.57567
8.875,-120.094,38.62627
10.625,-120.5208,38.8577
9.375,-120.1582,38.90858
8.25,-119.795,38.9581
9.375,-120.223,39.19109
8.375,-119.8581,39.24089
9.375,-120.2885,39.4738
9.0,-119.9218,39.5239
13.375,-120.4549,38.57567
12.5,-120.094,38.62627
13.375,-120.5208,38.8577
12.0,-120.1582,38.90858
11.125,-119.795,38.9581
12.125,-120.223,39.19109
10.75,-119.8581,39.24089
11.875,-120.2885,39.4738
11.625,-119.9218,39.5239
19.375,-120.4549,38.57567
22.5,-120.094,38.62627
20.375,-120.5208,38.8577
28.5,-120.1582,38.90858
39.25,-119.795,38.9581
32.0,-120.223,39.19109
40.875,-119.8581,39.24089
36.5,-120.2885,39.4738
45.875,-119.9218,39.5239
