hcdc,lon,lat
9.75,-120.4549,38.57567
6.0,-120.094,38.62627
8.875,-120.5208,38.8577
7.0,-120.1582,38.90858
8.625,-119.795,38.9581
12.0,-120.223,39.19109
15.625,-119.8581,39.24089
20.375,-120.2885,39.4738
19.75,-119.9218,39.5239
1.875,-120.4549,38.57567
1.5,-120.094,38.62627
2.5,-120.5208,38.8577
2.25,-120.1582,38.90858
1.75,-119.795,38.9581
2.5,-120.223,39.19109
2.25,-119.8581,39.24089
3.0,-120.2885,39.4738
2.5,-119.9218,39.5239
8.125,-120.4549,38.57567
6.625,-120.094,38.62627
8.375,-120.5208,38.8577
7.875,-120.1582,38.90858
8.5,-119.795,38.9581
8.875,-120.223,39.19109
10.125,-119.8581,39.24089
10.75,-120.2885,39.4738
12.25,-119.9218,39.5239
9.125,-120.4549,38.57567
8.125,-120.094,38.62627
9.375,-120.5208,38.8577
8.25,-120.1582,38.90858
7.875,-119.795,38.9581
8.75,-120.223,39.19109
8.125,-119.8581,39.24089
8.875,-120.2885,39.4738
8.75,-119.9218,39.5239
13.75,-120.4549,38.57567
13.0,-120.094,38.62627
14.0,-120.5208,38.8577
12.625,-120.1582,38.90858
11.875,-119.795,38.9581
12.875,-120.223,39.19109
11.375,-119.8581,39.24089
13.0,-120.2885,39.4738
12.875,-119.9218,39.5239
16.25,-120.4549,38.57567
17.75,-120.094,38.62627
17.375,-120.5208,38.8577
24.375,-120.1582,38.90858
31.375,-119.795,38.9581
27.875,-120.223,39.19109
32.625,-119.8581,39.24089
32.5,-120.2885,39.4738
44.125,-119.9218,39.5239
8.0,-120.4549,38.57567
5.875,-120.094,38.62627
7.25,-120.5208,38.8577
6.375,-120.1582,38.90858
9.75,-119.795,38.9581
7.125,-120.223,39.19109
9.625,-119.8581,39.24089
7.75,-120.2885,39.4738
13.25,-119.9218,39.5239
12.5,-120.4549,38.57567
12.875,-120.094,38.62627
14.25,-120.5208,38.8577
13.875,-120.1582,38.90858
15.0,-119.795,38.9581
16.625,-120.223,39.19109
16.375,-119.8581,39.24089
20.625,-120.2885,39.4738
19.875,-119.9218,39.5239
12.625,-120.4549,38.57567
12.75,-120.094,38.62627
11.875,-120.5208,38.8577
12.5,-120.1582,38.90858
13.25,-119.795,38.9581
