pr_wtr,lon,lat
4.006718,-119.795,38.9581
3.9754682,-120.223,39.19109
4.178593,-119.8581,39.24089
3.7567182,-120.2885,39.4738
4.6473427,-119.9218,39.5239
3.3368313,-120.4549,38.57567
2.2118313,-120.094,38.62627
3.5399563,-120.5208,38.8577
2.6337063,-120.1582,38.90858
2.9462063,-119.795,38.9581
2.8680813,-120.223,39.19109
3.0868313,-119.8581,39.24089
2.8837063,-120.2885,39.4738
3.6180813,-119.9218,39.5239
7.20317,-120.4549,38.57567
5.4219203,-120.094,38.62627
7.562545,-120.5208,38.8577
6.0937953,-120.1582,38.90858
6.0000453,-119.795,38.9581
6.4062953,-120.223,39.19109
6.3594203,-119.8581,39.24089
6.5000453,-120.2885,39.4738
7.04692,-119.9218,39.5239
7.1818886,-120.4549,38.57567
4.7287626,-120.094,38.62627
7.4162636,-120.5208,38.8577
5.4006386,-120.1582,38.90858
5.5568886,-119.795,38.9581
5.6662636,-120.223,39.19109
5.8225136,-119.8581,39.24089
5.6350136,-120.2885,39.4738
6.6818886,-119.9218,39.5239
5.1726837,-120.4549,38.57567
3.4539342,-120.094,38.62627
5.0164337,-120.5208,38.8577
3.6258092,-120.1582,38.90858
3.797684,-119.795,38.9581
3.6258092,-120.223,39.19109
3.750809,-119.8581,39.24089
3.4070592,-120.2885,39.4738
4.1258087,-119.9218,39.5239
2.5611446,-120.4549,38.57567
1.8267694,-120.094,38.62627
2.7173946,-120.5208,38.8577
2.1548946,-120.1582,38.90858
2.3580196,-119.795,38.9581
2.2798946,-120.223,39.19109
2.4673946,-119.8581,39.24089
2.2173944,-120.2885,39.4738
2.8580196,-119.9218,39.5239
6.7011127,-120.4549,38.57567
5.2792377,-120.094,38.62627
6.8729877,-120.5208,38.8577
5.7479877,-120.1582,38.90858
5.7479877,-119.795,38.9581
5.8886127,-120.223,39.19109
5.9354877,-119.8581,39.24089
5.7167377,-120.2885,39.4738
6.2636127,-119.9218,39.5239
7.396121,-120.4549,38.57567
5.3023715,-120.094,38.62627
7.614871,-120.5208,38.8577
5.9586215,-120.1582,38.90858
6.0836215,-119.795,38.9581
6.2086215,-120.223,39.19109
6.364871,-119.8581,39.24089
6.0679965,-120.2885,39.4738
6.927371,-119.9218,39.5239
6.214679,-120.4549,38.57567
4.589679,-120.094,38.62627
6.449054,-120.5208,38.8577
