hlcy,lon,lat
129.90366,-120.5208,38.8577
116.028656,-120.1582,38.90858
140.15366,-119.795,38.9581
129.77866,-120.223,39.19109
146.90366,-119.8581,39.24089
139.15366,-120.2885,39.4738
128.90366,-119.9218,39.5239
59.69713,-120.4549,38.57567
45.44713,-120.094,38.62627
62.57213,-120.5208,38.8577
53.82213,-120.1582,38.90858
59.32213,-119.795,38.9581
64.19713,-120.223,39.19109
61.57213,-119.8581,39.24089
66.19713,-120.2885,39.4738
69.07213,-119.9218,39.5239
84.20564,-120.4549,38.57567
55.455643,-120.094,38.62627
77.95564,-120.5208,38.8577
54.205643,-120.1582,38.90858
62.955643,-119.795,38.9581
67.95564,-120.223,39.19109
70.45564,-119.8581,39.24089
69.20564,-120.2885,39.4738
